SLy4 (TOV)  M1 =    1.40080e+00  R1 =    1.15988e+06  om0 =    1.09158e+04  Ebind =    4.46654e+53
        r,             rho,           pr,           grav,           m(r),         Gam1,          csq,          bruntsq,         nn,            np,            ne,           nmu,           mun,            mup,          mue,           mumu
    4.63952e+03    9.85257e+14    1.35995e+35    1.27772e+12    2.07207e-07    2.54935e+00    3.51887e+20    5.50267e+00    4.97302e+38    4.10002e+37    2.66073e+37    1.43929e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    4.75551e+03    9.85256e+14    1.35995e+35    1.30966e+12    2.23139e-07    2.54935e+00    3.51887e+20    5.78125e+00    4.97302e+38    4.10002e+37    2.66073e+37    1.43929e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    4.87150e+03    9.85255e+14    1.35995e+35    1.34160e+12    2.39867e-07    2.54935e+00    3.51886e+20    6.06670e+00    4.97302e+38    4.10002e+37    2.66073e+37    1.43929e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    4.98749e+03    9.85254e+14    1.35994e+35    1.37354e+12    2.57412e-07    2.54935e+00    3.51886e+20    6.35903e+00    4.97302e+38    4.10001e+37    2.66073e+37    1.43929e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    5.10348e+03    9.85254e+14    1.35994e+35    1.40549e+12    2.75792e-07    2.54935e+00    3.51886e+20    6.65824e+00    4.97301e+38    4.10001e+37    2.66073e+37    1.43929e+37    1.89763e-03    1.60564e-03    2.91993e-04    2.91993e-04
    5.21946e+03    9.85253e+14    1.35994e+35    1.43743e+12    2.95026e-07    2.54935e+00    3.51885e+20    6.96433e+00    4.97301e+38    4.10001e+37    2.66072e+37    1.43928e+37    1.89763e-03    1.60563e-03    2.91993e-04    2.91993e-04
    5.33545e+03    9.85252e+14    1.35993e+35    1.46937e+12    3.15135e-07    2.54935e+00    3.51885e+20    7.27730e+00    4.97301e+38    4.10000e+37    2.66072e+37    1.43928e+37    1.89763e-03    1.60563e-03    2.91993e-04    2.91993e-04
    5.45144e+03    9.85251e+14    1.35993e+35    1.50131e+12    3.36137e-07    2.54935e+00    3.51884e+20    7.59714e+00    4.97300e+38    4.10000e+37    2.66072e+37    1.43928e+37    1.89763e-03    1.60563e-03    2.91993e-04    2.91993e-04
    5.56743e+03    9.85250e+14    1.35993e+35    1.53326e+12    3.58052e-07    2.54935e+00    3.51884e+20    7.92387e+00    4.97300e+38    4.10000e+37    2.66072e+37    1.43928e+37    1.89763e-03    1.60563e-03    2.91993e-04    2.91993e-04
    5.68342e+03    9.85250e+14    1.35993e+35    1.56520e+12    3.80899e-07    2.54935e+00    3.51884e+20    8.25747e+00    4.97299e+38    4.09999e+37    2.66072e+37    1.43928e+37    1.89763e-03    1.60563e-03    2.91992e-04    2.91992e-04
    5.79940e+03    9.85249e+14    1.35992e+35    1.59714e+12    4.04699e-07    2.54935e+00    3.51883e+20    8.59795e+00    4.97299e+38    4.09999e+37    2.66071e+37    1.43928e+37    1.89762e-03    1.60563e-03    2.91992e-04    2.91992e-04
    5.91539e+03    9.85248e+14    1.35992e+35    1.62908e+12    4.29469e-07    2.54935e+00    3.51883e+20    8.94531e+00    4.97299e+38    4.09999e+37    2.66071e+37    1.43927e+37    1.89762e-03    1.60563e-03    2.91992e-04    2.91992e-04
    6.03138e+03    9.85247e+14    1.35992e+35    1.66102e+12    4.55230e-07    2.54935e+00    3.51882e+20    9.29955e+00    4.97298e+38    4.09998e+37    2.66071e+37    1.43927e+37    1.89762e-03    1.60563e-03    2.91992e-04    2.91992e-04
    6.14737e+03    9.85246e+14    1.35991e+35    1.69296e+12    4.82002e-07    2.54936e+00    3.51882e+20    9.66067e+00    4.97298e+38    4.09998e+37    2.66071e+37    1.43927e+37    1.89762e-03    1.60563e-03    2.91992e-04    2.91992e-04
    6.26336e+03    9.85245e+14    1.35991e+35    1.72491e+12    5.09803e-07    2.54936e+00    3.51882e+20    1.00287e+01    4.97298e+38    4.09998e+37    2.66071e+37    1.43927e+37    1.89762e-03    1.60563e-03    2.91992e-04    2.91992e-04
    6.37934e+03    9.85244e+14    1.35991e+35    1.75685e+12    5.38652e-07    2.54936e+00    3.51881e+20    1.04035e+01    4.97297e+38    4.09997e+37    2.66070e+37    1.43927e+37    1.89762e-03    1.60563e-03    2.91992e-04    2.91992e-04
    6.49533e+03    9.85243e+14    1.35990e+35    1.78879e+12    5.68570e-07    2.54936e+00    3.51881e+20    1.07853e+01    4.97297e+38    4.09997e+37    2.66070e+37    1.43927e+37    1.89762e-03    1.60563e-03    2.91992e-04    2.91992e-04
    6.61132e+03    9.85242e+14    1.35990e+35    1.82073e+12    5.99576e-07    2.54936e+00    3.51880e+20    1.11739e+01    4.97296e+38    4.09996e+37    2.66070e+37    1.43926e+37    1.89762e-03    1.60563e-03    2.91992e-04    2.91992e-04
